"Beta1","Beta2","Beta3","Beta4","Beta5","Beta6","Beta7","Beta8","method","seed"
-2.26218082,0.98363527,0.7616464,0.36712705,0.07502888,0.10620861,-0.01668451,-0.07949897,"Local1",29
-1.82968337,0.79959332,0.81481301,0.25594755,-0.02900712,0.11850149,0.0904085,0.15900231,"Local2",29
-1.89609745,0.92842863,0.5952982,0.49325857,0.09836027,0.09195552,0.05975859,0.05942321,"Local3",29
-1.92941962523322,0.899505204040348,0.681780745313404,0.407436630728402,0.058636532619684,0.101576238715913,0.0575952676634685,0.0680283553381215,"Meta",29
-1.997191581956,0.968633583185,0.787070295486,0.402520895664,0.201937367741,0.151890405702,-0.044635764121,0.000969570097,"GLORE",29
-1.9501223,0.93260801,0.74717044,0.39959297,0.15567399,0.1341772,-0.01395033,0.01825634,"FedAvg",29
-1.98489994,0.897660114,0.732050801,0.370681157,0.127357397,0.136893259,0.0007925053,0.0304022442,"q-FedAvg",29
-1.95011908,0.93260696,0.74716968,0.39959466,0.1556739,0.13417745,-0.01395102,0.01825909,"FedAvgM",29
-1.9749247,0.972587092,0.795415367,0.414017456,0.20559534,0.153173151,-0.034831,0.001930512,"FedProx (μ=0)",29
-2.00231636,0.97991757,0.78464957,0.20090393,0.31358427,0.05756067,-0.14237967,0.06456403,"Local1",3
-1.71722025,0.75571804,0.73923698,0.56932479,0.1652439,0.18357186,-0.01862539,-0.14251743,"Local2",3
-2.064461732,0.888643366,0.651925578,0.332150386,0.108309755,-0.062779503,0.001396739,-0.056303587,"Local3",3
-1.95637196915757,0.863703872542373,0.695832263543561,0.381165007934905,0.153901583175973,0.0247980531371665,-0.0248633555177551,-0.0636693096885467,"Meta",3
-2.006405213316,0.98731875045,0.697338252293,0.428295032663,0.178479619914,0.138803277842,0.008127091053,0.012422316055,"GLORE",3
-1.92994966,0.873197,0.67460025,0.39947988,0.22008596,0.07595376,0.01946076,-0.01690175,"FedAvg",3
-1.91341684,0.89439883,0.69211978,0.38594614,0.19178115,0.09437775,-0.01282624,-0.01678014,"q-FedAvg",3
-1.96295776,0.938180825,0.685377501,0.407334972,0.16523647,0.10360292,-0.001096971,-0.009906692,"FedAvgM",3
-2.02122947,0.99783868,0.69818223,0.42951511,0.17248353,0.13788075,0.00467425,0.01159735,"FedProx (μ=0)",3
-2.3127887,0.7392114,1.017137,0.51516374,0.23551927,0.15735396,0.06472202,0.26388676,"Local1",30
-2.1431397,0.9904007,0.7152605,0.29815799,0.36754779,0.15285191,0.03244634,0.19779102,"Local2",30
-1.9989592,1.0667133,0.8903006,0.4365245,0.2094346,0.2644275,-0.0301136,0.1074078,"Local3",30
-2.08498638691757,0.998123741266597,0.858408636145272,0.408225365050442,0.258336163411717,0.217252552094174,0.00130861313821095,0.155585724456896,"Meta",30
-2.040679248975,0.972325213007,0.819230780322,0.422055970768,0.176069831686,0.071368600026,-0.028189855479,0.006210214807,"GLORE",30
-2.0319477,0.96735233,0.81316603,0.41476183,0.19365832,0.11445666,-0.01798971,0.04434859,"FedAvg",30
-2.0020577,0.92737577,0.82307397,0.41243719,0.21280936,0.12365987,0.00904223,0.10619259,"q-FedAvg",30
-2.03215426,0.96737526,0.81315,0.41480291,0.19370006,0.11456528,-0.01755588,0.04425076,"FedAvgM",30
-2.08952672,0.98044808,0.81623495,0.42369459,0.16852769,0.0638325,-0.04353655,-0.00828127,"FedProx (μ=0)",30
-2.38156717,1.23530467,1.26783973,0.7995419,-0.12686352,-0.07303342,0.15313874,-0.3967972,"Local1",31
-2.23767087,0.93139373,0.91233323,0.51754574,0.19219078,0.27999892,0.14409586,0.08610948,"Local2",31
-2.045313529,1.077843328,0.757087746,0.416241738,0.382625436,0.196120543,0.008528309,0.032732688,"Local3",31
-2.14830900270327,1.05849506290032,0.874408168066514,0.4999429048101,0.255431397037011,0.181635227181013,0.0679205267478315,-0.0133782137302945,"Meta",31
-1.917490664174,1.010964024844,0.76880878237,0.363845026409,0.177994710446,0.074144787861,-0.055724379187,0.023131353963,"GLORE",31
